FRAME;ANGLE;CENTER X;CENTER Y;WIDTH;HEIGHT;
1;165.388;333.62;304.914;87.9172;108.741;
2;165.145;333.69;304.199;88.2448;108.473;
3;165.51;333.548;303.753;88.1634;108.534;
4;165.468;333.494;303.702;88.5524;108.403;
5;165.646;333.302;303.843;88.8213;108.765;
6;165.402;333.074;303.876;88.8483;108.514;
7;165.681;332.995;303.935;88.7341;108.78;
8;165.637;332.889;303.659;89.0904;108.788;
9;166.131;332.843;303.222;88.8925;108.818;
10;165.052;332.505;302.942;88.8849;109.059;
11;165.874;332.387;302.584;88.7402;108.925;
12;165.598;332.349;302.385;88.9422;108.829;
13;165.614;332.172;302.395;89.0142;108.614;
14;164.942;332.004;302.322;89.0992;108.55;
15;165.173;331.686;302.34;89.1343;108.692;
16;165.227;331.512;302.298;89.274;108.658;
17;165.134;331.277;302.263;89.6178;108.837;
18;164.976;331.244;302.198;89.3639;108.901;
19;165.326;330.982;302.025;89.5976;108.878;
20;165.844;330.85;301.907;89.5168;108.825;
21;164.679;330.67;301.848;89.7869;109.273;
22;164.658;330.653;301.636;89.7068;108.904;
23;164.594;330.522;301.334;89.7294;109.45;
24;164.996;330.36;301.202;89.8153;109.098;
25;165.31;330.022;300.539;89.8666;109.341;
26;165.782;329.775;300.186;89.9591;109.529;
27;165.959;329.688;299.968;89.9917;109.404;
28;165.703;329.511;299.401;90.3921;109.541;
29;166.062;329.264;299.096;90.1718;109.439;
30;165.455;328.917;298.878;90.081;108.939;
31;165.843;328.682;298.66;90.2756;109.29;
32;165.171;328.57;298.725;89.8224;109.021;
33;164.816;328.441;298.911;90.0602;109.176;
34;166.148;328.438;298.963;90.0677;109.228;
35;166.253;328.393;298.918;90.0499;109.524;
36;166.02;328.375;298.754;90.3228;109.445;
37;166.019;327.992;297.795;89.994;108.798;
38;165.155;327.786;297.541;90.0945;108.942;
39;164.863;327.58;297.586;89.9388;109.371;
40;164.304;327.658;297.46;90.0781;109.217;
41;164.189;327.411;297.21;90.0477;109.251;
42;163.73;327.203;297.061;90.0296;108.787;
43;163.102;327.084;296.467;90.3689;108.439;
44;163.075;327.108;295.703;90.2416;108.164;
45;163.736;327.077;294.573;91.1319;108.579;
46;163.441;326.973;294.033;91.3908;108.714;
47;163.522;326.879;293.59;91.1178;108.59;
48;163.664;326.882;293.151;91.4461;108.846;
49;163.409;326.684;292.496;91.0709;108.348;
50;162.89;326.495;291.879;91.305;109.036;
51;162.017;326.254;290.988;91.5908;109.3;
52;162.467;326.006;290.522;91.3229;109.39;
53;161.192;326.006;289.961;91.3384;109.745;
54;161.113;326.089;289.426;91.3105;109.55;
55;161.323;326.079;288.632;91.2515;109.454;
56;161.33;325.883;288.09;91.3139;109.656;
57;161.258;325.892;287.557;90.8594;110.178;
58;160.502;326.059;287.144;90.7534;109.77;
59;159.922;325.989;286.864;90.5758;109.744;
60;160.486;325.943;286.337;90.3461;110.132;
61;160.09;325.981;285.859;90.3226;109.791;
62;159.928;325.929;285.606;89.6038;109.804;
63;159.6;326.282;284.132;89.7251;110.215;
64;158.769;327.193;279.078;88.5451;110.433;
65;156.88;326.964;273.961;85.4245;110.175;
66;157.404;327.446;272.277;85.0875;108.928;
67;157.212;327.525;271.745;85.401;109.276;
68;157.228;327.869;270.922;84.9542;108.739;
69;156.492;327.981;270.405;84.3578;108.489;
70;156.146;327.821;269.407;84.3357;109.399;
71;156.078;327.955;268.759;83.9124;109.242;
72;156.048;328.018;267.869;83.6424;109.198;
73;155.801;327.932;266.913;83.2844;108.938;
74;154.645;327.994;266.363;83.8614;108.925;
75;153.58;327.902;265.435;83.7247;108.247;
76;154.022;328.125;264.916;83.3574;108.287;
77;153.215;328.158;264.08;83.3089;108.523;
78;153.114;328.271;263.19;83.2273;108.655;
79;152.714;328.322;262.223;82.8813;108.926;
80;153.387;328.657;261.407;82.3663;108.727;
81;152.956;328.858;260.411;82.1133;107.977;
82;152.841;328.894;259.505;81.5537;107.798;
83;152.05;329.112;258.882;80.8484;107.635;
84;152.062;329.446;258.25;80.734;107.49;
85;151.712;329.477;257.473;80.0518;107.069;
86;151.496;329.46;256.602;79.9611;105.998;
87;150.127;329.672;255.386;79.4475;104.806;
88;149.586;330.031;254.751;79.2413;104.551;
89;149.266;330.095;254.156;78.7176;103.548;
90;149.65;330.493;253.628;78.1622;103.91;
91;149.497;330.811;252.535;77.8629;103.107;
92;149.228;330.989;251.852;77.2212;102.949;
93;148.879;331.012;250.817;76.4491;102.418;
94;149.281;331.03;250.053;76.3393;101.819;
95;148.64;331.029;249.385;76.0487;101.535;
96;148.648;330.999;248.914;75.9124;100.92;
97;148.011;331.091;248.321;75.6782;101.07;
98;147.713;330.985;247.541;75.3946;100.352;
99;147.662;331.279;246.417;75.0597;100.391;
100;147.784;331.527;245.399;74.7341;99.9599;
101;147.402;331.413;244.64;73.9201;99.2226;
102;146.858;331.364;243.99;73.5856;98.7772;
103;146.178;331.333;243.514;73.6351;98.5238;
104;146.414;331.256;243.056;73.5531;97.7396;
105;146.385;331.319;242.753;73.0607;98.1247;
106;146.709;331.193;242.248;72.7979;98.0347;
107;146.314;331.268;241.989;72.304;97.77;
108;146.65;331.526;241.53;71.9867;97.9843;
109;146.634;331.495;241.284;71.55;97.7578;
110;146.515;331.536;240.919;71.5227;97.417;
111;145.844;331.588;240.619;71.4295;97.6461;
112;145.674;331.566;240.311;71.549;97.6427;
113;145.325;331.893;239.642;71.4417;96.7666;
114;145.071;334.565;238.603;70.921;96.0808;
115;144.04;336.598;237.723;68.4612;95.2964;
116;144.014;337.126;236.777;68.1816;95.5615;
117;144.211;337.217;236.422;68.0726;95.3138;
118;144.565;337.552;236.569;68.1863;95.0756;
119;144.083;337.564;236.381;67.7655;94.8364;
120;143.945;337.657;236.339;67.6191;94.7462;
121;144.326;337.706;236.362;67.486;95.05;
122;144.484;337.528;236.375;67.3928;94.6549;
123;144.203;337.717;236.38;67.7166;94.3329;
124;144.378;337.724;236.472;67.2476;94.0731;
125;144.54;337.662;236.66;67.342;93.8582;
126;143.755;337.651;236.809;67.5295;93.8751;
127;143.452;337.766;237.124;67.116;93.5256;
128;143.66;337.705;237.326;67.447;93.4652;
129;143.866;337.701;237.604;67.4097;93.5522;
130;143.462;337.677;238.051;67.4777;93.2691;
131;144.497;337.803;238.515;67.3208;93.1287;
132;144.661;337.833;238.748;67.3081;92.9465;
133;144.942;338.187;239.271;67.9612;93.2625;
134;145.257;338.049;239.75;67.9546;93.116;
135;145.855;338.319;240.271;68.0804;93.2744;
136;144.98;338.707;240.871;68.5361;92.9584;
137;146.207;338.482;241.188;68.1628;92.711;
138;146.831;338.796;241.496;68.2023;92.6532;
139;146.96;339.107;241.919;67.8039;92.4436;
140;147.278;339.411;242.419;67.7228;92.9018;
141;148.136;339.593;242.632;67.5652;92.8488;
142;147.946;339.903;242.873;67.479;92.5958;
143;147.949;340.124;242.824;67.6064;92.6853;
144;148.7;340.287;242.797;67.2459;92.6714;
145;148.533;340.646;243.183;67.3271;92.6449;
146;148.816;341.079;243.369;67.1751;91.8884;
147;148.249;341.666;243.733;66.9724;92.3202;
148;148.307;342.161;243.604;67.1162;92.3948;
149;148.614;342.646;243.582;65.8399;92.1672;
150;148.894;343.122;243.274;65.8931;92.0087;
151;149.961;344.035;243.147;65.9303;92.0244;
152;149.688;344.41;243.251;65.3153;91.3895;
153;149.915;344.999;243.557;65.0075;91.7967;
154;149.596;345.415;243.857;64.8957;91.4109;
155;148.827;347.914;245.448;65.5383;91.6395;
156;151.181;353.463;248.691;64.4843;92.8477;
157;150.664;355.515;249.877;64.6879;93.611;
158;150.794;356.361;249.874;64.647;93.3401;
159;150.543;357.065;250.417;64.2191;93.0045;
160;150.256;358.073;250.678;63.7863;93.606;
161;149.887;358.72;251.136;63.4961;94.4657;
162;150.314;359.731;251.375;63.6638;94.0023;
163;150.456;360.773;251.582;63.4955;93.0986;
164;150.166;361.237;251.885;63.1986;92.9996;
165;150.162;362.023;252.321;62.2679;92.8118;
166;150.012;362.869;252.786;62.2226;92.0047;
167;150.124;363.528;252.848;61.7078;92.0033;
168;149.828;364.08;253.079;60.7618;92.2566;
169;149.773;364.88;253.163;61.1429;92.5908;
170;149.768;365.643;253.477;61.0998;92.6261;
171;150.406;366.311;253.997;60.4641;93.097;
172;150.375;367.391;254.239;60.5812;92.9194;
173;150.235;367.936;254.46;60.327;93.0327;
174;149.634;368.591;254.438;60.4577;92.6366;
175;149.882;369.248;254.834;60.5905;92.9188;
176;149.69;370.214;255.099;60.93;93.4659;
177;150.472;371.418;255.806;61.0003;93.7754;
178;150.791;372.105;256.315;60.5096;93.0643;
179;151.124;373.096;257.122;60.0711;92.7965;
180;151.62;374.22;257.709;59.8776;92.4791;
181;152.851;375.142;258.27;59.5174;92.6728;
182;153.003;376.21;258.799;58.8559;92.2033;
183;152.981;377.17;259.375;58.127;92.1174;
184;153.064;378.218;259.97;58.0996;91.253;
185;154.914;379.942;261.491;57.212;91.3478;
186;155.042;380.827;262.154;57.294;90.9995;
187;155.253;381.74;262.765;56.8428;91.2976;
188;155.111;382.798;263.629;55.7803;90.0533;
189;156.609;387.765;266.958;54.2294;90.8921;
190;160.037;393.622;273.037;51.1124;89.1584;
191;159.66;395.274;275.559;49.996;89.0318;
192;159.3;396.138;276.269;49.9638;88.2125;
193;160.055;397.251;277.171;49.4708;87.6752;
194;160.312;398.444;277.84;48.6046;86.9439;
195;160.982;400.278;278.751;47.3006;86.5246;
196;161.977;401.618;279.049;46.4601;86.1214;
197;162.329;402.675;279.818;46.0318;86.8049;
198;161.594;403.646;280.62;46.4175;86.4298;
199;161.913;404.225;280.582;46.6323;86.5304;
200;161.654;405.123;281.627;46.0026;84.4404;
201;161.415;405.875;282.201;46.0871;84.2115;
202;161.294;406.802;283.301;45.2663;84.7985;
203;161.623;407.104;283.729;45.8774;84.6423;
204;161.354;407.816;284.198;44.7611;84.3808;
205;161.812;408.245;284.315;44.8576;84.1979;
206;161.743;409.157;284.635;44.8612;84.3155;
207;162.648;409.649;284.741;44.4445;84.1004;
208;163.078;410.017;285.116;43.9218;83.1961;
209;163.483;410.532;285.25;44.0457;83.8497;
210;163.256;410.84;286.136;43.4163;83.2518;
211;163.84;411.69;286.908;42.3958;82.2914;
212;163.729;411.899;287.478;41.9172;82.0843;
213;164.663;412.318;287.881;41.6474;81.7956;
214;164.807;412.687;287.8;41.4337;81.6181;
215;165.131;413.428;288.452;41.3539;80.7068;
216;165.167;413.469;288.612;41.7619;80.8064;
217;164.866;413.727;289.353;40.7873;81.4619;
218;164.866;413.971;289.902;41.0657;80.3454;
219;165.244;414.086;290.121;41.0124;80.7574;
220;165.444;414.723;291.133;40.8028;80.0353;
221;165.482;415.215;291.348;40.3629;79.3658;
222;165.595;414.993;291.273;40.142;80.5347;
223;165.111;415.457;292.272;39.5848;79.8613;
224;165.746;415.704;292.991;39.2491;78.3503;
225;166.043;415.823;293.008;39.6421;78.5177;
226;166.2;416.06;292.766;39.5258;77.8339;
227;165.403;416.176;293.078;39.3521;77.429;
228;165.594;416.527;293.692;39.0112;76.5485;
229;165.423;416.447;293.691;39.0678;76.6721;
230;165.347;417.591;293.975;40.065;77.8401;
231;165.919;420.264;296.092;39.9249;77.4056;
232;165.776;421.018;296.744;39.4023;78.3176;
233;165.803;420.93;296.854;39.6245;79.4039;
234;165.279;420.638;296.473;39.9258;78.1849;
235;165.955;420.875;296.204;39.7568;78.0397;
236;165.828;420.798;296.312;40.171;78.7488;
237;165.57;420.848;296.614;39.8515;78.8655;
238;166.01;420.946;296.736;39.6499;79.202;
239;165.577;420.703;296.621;38.8972;77.9632;
240;165.125;420.703;296.399;39.1535;77.0909;
241;165.074;420.775;296.666;39.5155;77.2895;
242;165.564;420.527;296.679;39.3424;77.3148;
243;165.537;420.638;296.756;39.3046;76.5917;
244;166.363;420.786;296.937;39.7419;77.0944;
245;165.802;420.43;297.408;39.3637;77.1892;
246;165.907;420.497;297.583;39.7097;77.5469;
247;166.379;420.242;297.947;39.1093;78.5455;
